Date,Price,Open,High,Low,Vol.,Change %
"Jun 10, 2019",64.2,64.9,64.9,63.7,2.30M,-0.47%
"Jun 09, 2019",64.5,64.7,64.9,64,210.48K,-0.15%
"May 30, 2019",64.6,63.2,65,63.2,2.20M,1.41%
"May 29, 2019",63.7,62.9,64,62.3,881.81K,1.27%
"May 28, 2019",62.9,61.3,63.2,61,1.79M,3.28%
"May 27, 2019",60.9,60.8,61,60.1,1.21M,0.50%
"May 26, 2019",60.6,60.1,61,60,449.19K,-0.33%
"May 23, 2019",60.8,58.9,61.5,58.9,2.39M,3.75%
"May 22, 2019",58.6,57.5,59.5,57,1.70M,2.09%
"May 21, 2019",57.4,59,59,56.5,1.33M,-1.20%
"May 20, 2019",58.1,59.8,59.8,57.9,6.88M,-2.84%
"May 19, 2019",59.8,57.2,60,57.2,1.14M,6.22%
"May 16, 2019",56.3,56.2,57.4,55.8,6.12M,1.08%
"May 15, 2019",55.7,57.7,58,55,3.01M,-2.96%
"May 14, 2019",57.4,58.9,59.1,57,1.48M,-2.38%
"May 13, 2019",58.8,60.3,60.5,58.4,872.49K,-2.49%
"May 12, 2019",60.3,61.4,61.5,60.2,340.34K,-0.99%
"May 09, 2019",60.9,63.6,63.6,60.3,1.22M,-2.87%
"May 08, 2019",62.7,63.3,63.3,62.4,591.66K,-1.10%
"May 07, 2019",63.4,63.3,63.8,62.8,671.31K,0.48%
"May 06, 2019",63.1,64.1,64.1,62.5,1.26M,-1.56%
"May 05, 2019",64.1,63.5,64.3,63.2,298.57K,1.42%
"May 02, 2019",63.2,62.3,63.9,62.3,382.62K,2.43%
"Apr 30, 2019",61.7,61.9,63.7,60,2.69M,0.00%
"Apr 29, 2019",61.7,63.2,63.2,61.5,1.05M,-2.22%
"Apr 28, 2019",63.1,64,64.8,62.8,243.67K,-1.25%
"Apr 25, 2019",63.9,63.3,64.3,63.2,1.52M,0.95%
"Apr 24, 2019",63.3,63,63.5,62.6,1.26M,0.80%
"Apr 23, 2019",62.8,62.7,63.5,62.4,782.33K,0.00%
"Apr 21, 2019",62.8,64,64,62.4,803.32K,-3.68%
"Apr 18, 2019",65.2,63,66.1,62.2,544.90K,3.66%
"Apr 17, 2019",62.9,64,64.8,61.6,621.51K,0.00%
"Apr 16, 2019",62.9,65.3,65.3,62.6,1.02M,-2.33%
"Apr 15, 2019",64.4,67,69.9,64.2,728.12K,0.48%
"Apr 10, 2019",64.09,66,67.13,63.74,613.63K,-1.73%
"Apr 09, 2019",65.22,66.09,66.35,63.91,666.52K,-1.57%
"Apr 08, 2019",66.26,68.09,68.09,65.3,873.19K,-2.31%
"Apr 07, 2019",67.83,67.74,68,67.3,326.08K,0.38%
"Apr 04, 2019",67.57,69.13,69.13,66.52,783.61K,0.40%
"Apr 03, 2019",67.3,69.48,69.48,67.13,1.00M,-3.50%
"Apr 02, 2019",69.74,69.13,71.22,69.13,817.29K,1.01%
"Apr 01, 2019",69.04,67.65,69.65,67.39,2.99M,2.05%
"Mar 31, 2019",67.65,66.52,67.83,66.52,733.86K,0.64%
"Mar 28, 2019",67.22,68,68.17,66.96,881.38K,-0.52%
"Mar 27, 2019",67.57,67.83,68.09,66.96,1.41M,-0.25%
"Mar 25, 2019",67.74,66.52,69.04,65.91,1.40M,2.78%
"Mar 24, 2019",65.91,66.09,67.83,63.48,3.30M,-7.22%
"Mar 21, 2019",71.04,73.04,73.13,70.43,2.06M,-1.81%
"Mar 20, 2019",72.35,75.65,75.65,72.09,2.71M,-3.25%
"Mar 19, 2019",74.78,77.04,77.3,73.48,2.88M,-2.93%
"Mar 18, 2019",77.04,77.39,78.61,76,4.95M,0.10%
"Mar 14, 2019",76.96,73.04,77.3,73.04,5.86M,5.24%
"Mar 13, 2019",73.13,72.17,74.26,72.09,3.25M,1.57%
"Mar 12, 2019",72,71.65,72.17,71.3,1.38M,0.49%
"Mar 11, 2019",71.65,72.43,72.78,71.57,1.13M,-0.84%
"Mar 10, 2019",72.26,71.91,72.78,71.74,561.35K,0.85%
"Mar 07, 2019",71.65,73.04,73.04,71.3,1.09M,-1.67%
"Mar 06, 2019",72.87,72.17,73.22,71.91,2.55M,1.34%
"Mar 05, 2019",71.91,70.7,72.17,70.7,888.79K,1.71%
"Mar 04, 2019",70.7,71.04,71.57,70.61,1.47M,-0.48%
"Mar 03, 2019",71.04,70.09,71.65,69.91,587.99K,0.61%
"Feb 27, 2019",70.61,71.3,71.83,70.26,939.94K,-1.09%
"Feb 26, 2019",71.39,72.35,72.61,70.87,2.66M,-1.33%
"Feb 25, 2019",72.35,68.87,72.7,68.87,3.60M,5.05%
"Feb 24, 2019",68.87,69.04,69.04,68.7,474.68K,0.00%
"Feb 20, 2019",68.87,69.57,69.57,68.7,453.39K,-1.01%
"Feb 19, 2019",69.57,69.04,69.91,68.7,502.32K,1.40%
"Feb 18, 2019",68.61,68.96,69.39,68.43,318.63K,-0.38%
"Feb 17, 2019",68.87,68.87,69.74,68.7,338.41K,0.00%
"Feb 14, 2019",68.87,69.57,69.57,68.61,735.23K,-1.25%
"Feb 13, 2019",69.74,69.3,70,68.87,1.45M,0.63%
"Feb 12, 2019",69.3,69.57,69.57,68.52,438.60K,1.14%
"Feb 11, 2019",68.52,69.04,69.57,68.43,716.02K,-1.88%
"Feb 10, 2019",69.83,70.52,70.78,68.78,719.64K,-0.85%
"Feb 07, 2019",70.43,70.35,72,70.17,1.64M,0.11%
"Feb 06, 2019",70.35,68.87,70.87,68.78,1.85M,2.15%
"Feb 05, 2019",68.87,69.04,69.04,68.52,631.99K,0.64%
